brand	product_name	price 
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TAORUS M-12GD	1,433$
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TEAGLE OC-12GD	1,301$
ASUS	ASUS ROG STRIX GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3080TI-O12G-GAMING and ASUS ROG STRIX B550-F GAMING AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard	1,822$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD and GIGABYTE P750GM 750W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active PFC Power Supply	826$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TAORUS M-12GD and GIGABYTE P750GM 750W ATX 12V v2.31 80 PLUS GOLD Certified Full Modular Active PFC Power Supply	1,298$
MSI	MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING X TRIO and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U083016BGDA	720$
MSI	MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING X TRIO and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model MD4U0836180BHRDA	735$
MSI	MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING X TRIO and OLOy 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3000 (PC4 24000) Desktop Memory Model MD4U163016CGDA	774$
MSI	MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card RTX 3070 GAMING X TRIO and OLOy 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model ND4U0836161BHKDA	741$
ASRock	ASRock Z590 OC FORMULA LGA 1200 Intel Z590 SATA 6Gb/s Extended ATX Intel Motherboard and ASRock OC Formula Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX6900XT OCF 16G	2,096$
