brand	product_name	price 
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE AORUS GeForce RTX 3080 MASTER 10G (rev. 2.0) Graphics Card Max Covered Cooling 10GB 320-bit GDDR6X GV-N3080AORUS M-10GD Rev2.0 Video Card	1,154$
GIGABYTE	GIGABYTE AORUS GeForce RTX 3090 XTREME WATERFORCE WB 24G Graphics Card WATERFORCE Water Block Cooling System 24GB 384-bit GDDR6X GV-N3090AORUSX WB-24GD Video Card and GIGABYTE Z590 VISION G LGA 1200 Intel Z590 ATX Motherboard with 4 x M.2 P	1,998$
GIGABYTE	GIGABYTE Z490 AORUS MASTER LGA 1200 Intel Z490 ATX Motherboard with Triple M.2 SATA 6Gb/s USB 3.2 Gen 2 WIFI 6 2.5 GbE LAN and GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card WINDFORCE 3X Cooling System 16GB 256-bit GDDR6 GV-R68XTGAM	1,295$
MSI	MSI Gaming Radeon RX 6900 XT PCI Express 4.0 x16 Video Card RX 6900 XT GAMING Z TRIO 16G	2,199$
EVGA	EVGA 200 GeForce 210 1GB DDR3 PCI Express 2.0 x16 Low Profile Video Card 01G-P3-1312-LR	55$
Sapphire Tech	Sapphire Pulse AMD Radeon RX 6700 XT Gaming 12GB GDDR6 HDMI / Triple DP (11306-02-20G)	764$
MSI	MSI GeForce GT 730 2GB DDR3 PCI Express 2.0 Low Profile Video Card N730K-2GD3H/LPV1	97$
Sapphire Tech	SAPPHIRE Toxic Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 ATX Video Card 11308-06-20G	2,379$
GIGABYTE	GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 Low Profile Video Card GV-N105TOC-4GL	230$
GIGABYTE	GIGABYTE GeForce GTX 1660 6GB GDDR5 PCI Express 3.0 x16 ATX Video Card GV-N1660OC-6GD	367$
GIGABYTE	GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Cards                                                  GV-N105TOC-4GD	155$
GIGABYTE	GIGABYTE Z590 AORUS ULTRA LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard and GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G Graphics Card WATERFORCE Water Block Cooling System 10GB 320-bit GDDR6X GV-N3080AORUSX WB-10GD Video	1,255$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G Graphics Card WATERFORCE Water Block Cooling System 10GB 320-bit GDDR6X GV-N3080AORUS	1,264$
GIGABYTE	GIGABYTE Z490 AORUS MASTER LGA 1200 Intel Z490 ATX Motherboard with Triple M.2 SATA 6Gb/s USB 3.2 Gen 2 WIFI 6 2.5 GbE LAN and GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G Graphics Card WATERFORCE Water Block Cooling System 10GB	1,348$
GIGABYTE	GIGABYTE X570 AORUS ULTRA AMD Ryzen 3000 PCIe 4.0 SATA 6Gb/s USB 3.2 AMD X570 ATX Motherboard and GIGABYTE AORUS GeForce RTX 3080 MASTER 10G (rev. 2.0) Graphics Card Max Covered Cooling 10GB 320-bit GDDR6X GV-N3080AORUS M-10GD Rev2.0 Video	1,163$
GIGABYTE	GIGABYTE Z490 AORUS MASTER LGA 1200 Intel Z490 ATX Motherboard with Triple M.2 SATA 6Gb/s USB 3.2 Gen 2 WIFI 6 2.5 GbE LAN and GIGABYTE AORUS GeForce RTX 3080 MASTER 10G (rev. 2.0) Graphics Card Max Covered Cooling 10GB 320-bit GDDR6X GV-N3	1,247$
